"시점","현황별(1)","현황별(2)",투자현황별(1),데이터
"2021","주력업종별","바이오 자원",기업 전체투자비 (백만원),41480
"2021","주력업종별","바이오 자원",바이오 연구개발비 (백만원),12509
"2021","주력업종별","바이오 자원",바이오 시설투자비 (백만원),1348
"2021","주력업종별","바이오 자원",바이오 전체투자비 (백만원),13857
"2021","주력업종별","바이오 서비스",기업수 (개),105
"2021","주력업종별","바이오 서비스",응답기업수 (개),105
"2021","주력업종별","바이오 서비스",기업 연구개발비 (백만원),251472
"2021","주력업종별","바이오 서비스",기업 시설투자비 (백만원),302600
"2021","주력업종별","바이오 서비스",기업 전체투자비 (백만원),554072
"2021","주력업종별","바이오 서비스",바이오 연구개발비 (백만원),207044
"2021","주력업종별","바이오 서비스",바이오 시설투자비 (백만원),302100
"2021","주력업종별","바이오 서비스",바이오 전체투자비 (백만원),509144
"2021","총 종사자규모별","1~49명",기업수 (개),667
"2021","총 종사자규모별","1~49명",응답기업수 (개),657
"2021","총 종사자규모별","1~49명",기업 연구개발비 (백만원),552873
"2021","총 종사자규모별","1~49명",기업 시설투자비 (백만원),43264
"2021","총 종사자규모별","1~49명",기업 전체투자비 (백만원),596137
"2021","총 종사자규모별","1~49명",바이오 연구개발비 (백만원),467295
"2021","총 종사자규모별","1~49명",바이오 시설투자비 (백만원),40558
"2021","총 종사자규모별","1~49명",바이오 전체투자비 (백만원),507853
"2021","총 종사자규모별","50~299명",기업수 (개),278
"2021","총 종사자규모별","50~299명",응답기업수 (개),268
"2021","총 종사자규모별","50~299명",기업 연구개발비 (백만원),1030862
"2021","총 종사자규모별","50~299명",기업 시설투자비 (백만원),193062
"2021","총 종사자규모별","50~299명",기업 전체투자비 (백만원),1223924
"2021","총 종사자규모별","50~299명",바이오 연구개발비 (백만원),683114
"2021","총 종사자규모별","50~299명",바이오 시설투자비 (백만원),157693
"2021","총 종사자규모별","50~299명",바이오 전체투자비 (백만원),840807
"2021","총 종사자규모별","300~999명",기업수 (개),73
"2021","총 종사자규모별","300~999명",응답기업수 (개),66
"2021","총 종사자규모별","300~999명",기업 연구개발비 (백만원),748778
"2021","총 종사자규모별","300~999명",기업 시설투자비 (백만원),132508
"2021","총 종사자규모별","300~999명",기업 전체투자비 (백만원),881286
"2021","총 종사자규모별","300~999명",바이오 연구개발비 (백만원),377261
"2021","총 종사자규모별","300~999명",바이오 시설투자비 (백만원),119482
"2021","총 종사자규모별","300~999명",바이오 전체투자비 (백만원),496743
"2021","총 종사자규모별","1,000명 이상",기업수 (개),33
"2021","총 종사자규모별","1,000명 이상",응답기업수 (개),31
"2021","총 종사자규모별","1,000명 이상",기업 연구개발비 (백만원),3440450
"2021","총 종사자규모별","1,000명 이상",기업 시설투자비 (백만원),808489
"2021","총 종사자규모별","1,000명 이상",기업 전체투자비 (백만원),4248939
"2021","총 종사자규모별","1,000명 이상",바이오 연구개발비 (백만원),732324
"2021","총 종사자규모별","1,000명 이상",바이오 시설투자비 (백만원),479369
"2021","총 종사자규모별","1,000명 이상",바이오 전체투자비 (백만원),1211693
"2021","총 종사자규모별","미상",기업수 (개),4
"2021","총 종사자규모별","미상",응답기업수 (개),1
"2021","총 종사자규모별","미상",기업 연구개발비 (백만원),10472
"2021","총 종사자규모별","미상",기업 시설투자비 (백만원),300
"2021","총 종사자규모별","미상",기업 전체투자비 (백만원),10772
"2021","총 종사자규모별","미상",바이오 연구개발비 (백만원),10472
"2021","총 종사자규모별","미상",바이오 시설투자비 (백만원),300
"2021","총 종사자규모별","미상",바이오 전체투자비 (백만원),10772
"2021","지역별","서울",기업수 (개),249
"2021","지역별","서울",응답기업수 (개),229
"2021","지역별","서울",기업 연구개발비 (백만원),674672
"2021","지역별","서울",기업 시설투자비 (백만원),36257
"2021","지역별","서울",기업 전체투자비 (백만원),710929
"2021","지역별","서울",바이오 연구개발비 (백만원),349958
"2021","지역별","서울",바이오 시설투자비 (백만원),30831
"2021","지역별","서울",바이오 전체투자비 (백만원),380789
"2021","지역별","부산",기업수 (개),14
"2021","지역별","부산",응답기업수 (개),12
"2021","지역별","부산",기업 연구개발비 (백만원),3038
"2021","지역별","부산",기업 시설투자비 (백만원),420
"2021","지역별","부산",기업 전체투자비 (백만원),3458
"2021","지역별","부산",바이오 연구개발비 (백만원),3038
"2021","지역별","부산",바이오 시설투자비 (백만원),270
"2021","지역별","부산",바이오 전체투자비 (백만원),3308
"2021","지역별","인천",기업수 (개),29
"2021","지역별","인천",응답기업수 (개),29
"2021","지역별","인천",기업 연구개발비 (백만원),270462
"2021","지역별","인천",기업 시설투자비 (백만원),342199
"2021","지역별","인천",기업 전체투자비 (백만원),612661
"2021","지역별","인천",바이오 연구개발비 (백만원),266488
"2021","지역별","인천",바이오 시설투자비 (백만원),342149
"2021","지역별","인천",바이오 전체투자비 (백만원),608637
"2021","지역별","대구",기업수 (개),13
"2021","지역별","대구",응답기업수 (개),12
"2021","지역별","대구",기업 연구개발비 (백만원),88315
"2021","지역별","대구",기업 시설투자비 (백만원),5320
"2021","지역별","대구",기업 전체투자비 (백만원),93635
"2021","지역별","대구",바이오 연구개발비 (백만원),7208
"2021","지역별","대구",바이오 시설투자비 (백만원),4320
"2021","지역별","대구",바이오 전체투자비 (백만원),11528
"2021","지역별","광주",기업수 (개),6
"2021","지역별","광주",응답기업수 (개),6
"2021","지역별","광주",기업 연구개발비 (백만원),3747
"2021","지역별","광주",기업 시설투자비 (백만원),745
"2021","지역별","광주",기업 전체투자비 (백만원),4492
"2021","지역별","광주",바이오 연구개발비 (백만원),1117
"2021","지역별","광주",바이오 시설투자비 (백만원),725
"2021","지역별","광주",바이오 전체투자비 (백만원),1842
"2021","지역별","대전",기업수 (개),84
"2021","지역별","대전",응답기업수 (개),84
"2021","지역별","대전",기업 연구개발비 (백만원),515909
"2021","지역별","대전",기업 시설투자비 (백만원),133149
"2021","지역별","대전",기업 전체투자비 (백만원),649058
"2021","지역별","대전",바이오 연구개발비 (백만원),164780
"2021","지역별","대전",바이오 시설투자비 (백만원),44175
"2021","지역별","대전",바이오 전체투자비 (백만원),208955
"2021","지역별","울산",기업수 (개),9
"2021","지역별","울산",응답기업수 (개),9
"2021","지역별","울산",기업 연구개발비 (백만원),48763
"2021","지역별","울산",기업 시설투자비 (백만원),800
"2021","지역별","울산",기업 전체투자비 (백만원),49563
"2021","지역별","울산",바이오 연구개발비 (백만원),26862
"2021","지역별","울산",바이오 시설투자비 (백만원),720
"2021","지역별","울산",바이오 전체투자비 (백만원),27582
"2021","지역별","세종",기업수 (개),4
"2021","지역별","세종",응답기업수 (개),3
"2021","지역별","세종",기업 연구개발비 (백만원),9627
"2021","지역별","세종",기업 시설투자비 (백만원),8000
"2021","지역별","세종",기업 전체투자비 (백만원),17627
"2021","지역별","세종",바이오 연구개발비 (백만원),4310
"2021","지역별","세종",바이오 시설투자비 (백만원),3000
"2021","지역별","세종",바이오 전체투자비 (백만원),7310
"2021","지역별","경기",기업수 (개),350
"2021","지역별","경기",응답기업수 (개),346
"2021","지역별","경기",기업 연구개발비 (백만원),3329048
"2021","지역별","경기",기업 시설투자비 (백만원),496113
"2021","지역별","경기",기업 전체투자비 (백만원),3825161
"2021","지역별","경기",바이오 연구개발비 (백만원),876356
"2021","지역별","경기",바이오 시설투자비 (백만원),243619
"2021","지역별","경기",바이오 전체투자비 (백만원),1119975
"2021","지역별","강원",기업수 (개),44
"2021","지역별","강원",응답기업수 (개),43
"2021","지역별","강원",기업 연구개발비 (백만원),115416
"2021","지역별","강원",기업 시설투자비 (백만원),14039
"2021","지역별","강원",기업 전체투자비 (백만원),129455
"2021","지역별","강원",바이오 연구개발비 (백만원),100522
"2021","지역별","강원",바이오 시설투자비 (백만원),14039
"2021","지역별","강원",바이오 전체투자비 (백만원),114561
"2021","지역별","충북",기업수 (개),84
"2021","지역별","충북",응답기업수 (개),82
"2021","지역별","충북",기업 연구개발비 (백만원),469293
"2021","지역별","충북",기업 시설투자비 (백만원),69140
"2021","지역별","충북",기업 전체투자비 (백만원),538433
"2021","지역별","충북",바이오 연구개발비 (백만원),317991
"2021","지역별","충북",바이오 시설투자비 (백만원),66587
"2021","지역별","충북",바이오 전체투자비 (백만원),384578
"2021","지역별","충남",기업수 (개),41
"2021","지역별","충남",응답기업수 (개),41
"2021","지역별","충남",기업 연구개발비 (백만원),111609
"2021","지역별","충남",기업 시설투자비 (백만원),8320
"2021","지역별","충남",기업 전체투자비 (백만원),119929
"2021","지역별","충남",바이오 연구개발비 (백만원),40410
"2021","지역별","충남",바이오 시설투자비 (백만원),5720
"2021","지역별","충남",바이오 전체투자비 (백만원),46130
"2021","지역별","전북",기업수 (개),31
"2021","지역별","전북",응답기업수 (개),31
"2021","지역별","전북",기업 연구개발비 (백만원),50257
"2021","지역별","전북",기업 시설투자비 (백만원),11218
"2021","지역별","전북",기업 전체투자비 (백만원),61475
"2021","지역별","전북",바이오 연구개발비 (백만원),29205
"2021","지역별","전북",바이오 시설투자비 (백만원),8800
"2021","지역별","전북",바이오 전체투자비 (백만원),38005
"2021","지역별","전남",기업수 (개),37
"2021","지역별","전남",응답기업수 (개),37
"2021","지역별","전남",기업 연구개발비 (백만원),11535
"2021","지역별","전남",기업 시설투자비 (백만원),10320
"2021","지역별","전남",기업 전체투자비 (백만원),21855
"2021","지역별","전남",바이오 연구개발비 (백만원),9103
"2021","지역별","전남",바이오 시설투자비 (백만원),9320
"2021","지역별","전남",바이오 전체투자비 (백만원),18423
"2021","지역별","경북",기업수 (개),25
"2021","지역별","경북",응답기업수 (개),24
"2021","지역별","경북",기업 연구개발비 (백만원),56213
"2021","지역별","경북",기업 시설투자비 (백만원),11613
"2021","지역별","경북",기업 전체투자비 (백만원),67826
"2021","지역별","경북",바이오 연구개발비 (백만원),56050
"2021","지역별","경북",바이오 시설투자비 (백만원),10962
"2021","지역별","경북",바이오 전체투자비 (백만원),67012
"2021","지역별","경남",기업수 (개),27
"2021","지역별","경남",응답기업수 (개),27
"2021","지역별","경남",기업 연구개발비 (백만원),18647
"2021","지역별","경남",기업 시설투자비 (백만원),24720
"2021","지역별","경남",기업 전체투자비 (백만원),43367
"2021","지역별","경남",바이오 연구개발비 (백만원),13784
"2021","지역별","경남",바이오 시설투자비 (백만원),6915
"2021","지역별","경남",바이오 전체투자비 (백만원),20699
"2021","지역별","제주",기업수 (개),8
"2021","지역별","제주",응답기업수 (개),8
"2021","지역별","제주",기업 연구개발비 (백만원),6884
"2021","지역별","제주",기업 시설투자비 (백만원),5250
"2021","지역별","제주",기업 전체투자비 (백만원),12134
"2021","지역별","제주",바이오 연구개발비 (백만원),3284
"2021","지역별","제주",바이오 시설투자비 (백만원),5250
"2021","지역별","제주",바이오 전체투자비 (백만원),8534
